序号,视频编码(BV号),视频标题,发布时间,播放量,时长,分区,合集/系列,视频链接
113,BV1JT4y1K7dp,【主义主义】哲学意识形态大全-总纲,2021-01-24,720466,60:28,人文历史,,https://www.bilibili.com/video/BV1JT4y1K7dp
114,BV1hf4y1k7sX,【主义主义】无声版：神创论（1-2-1）,2021-01-25,123999,15:23,人文历史,,https://www.bilibili.com/video/BV1hf4y1k7sX
118,BV1Qr4y1N7qx,【主义主义】伪唯心主义（1-3-1）——笛卡尔：“Cogito ergo sum…”中二：“Ego sum te peto et uidere queo！”,2021-01-26,133725,32:50,人文历史,,https://www.bilibili.com/video/BV1Qr4y1N7qx
119,BV1bo4y1R796,【主义主义】“客观唯心主义”（1-3-1-1）：文化贵族们的祖传饭碗，扣在柏拉图、谢林头上的前现代臭痰盂,2021-01-27,96388,38:07,人文历史,,https://www.bilibili.com/video/BV1bo4y1R796
120,BV1CN411d7dd,【主义主义】“主观唯心主义”（1-3-1-2）——成为“圣人”的最廉价方式，不少聪明人无妨抵挡的诱惑,2021-01-27,110090,67:33,人文历史,,https://www.bilibili.com/video/BV1CN411d7dd
121,BV1wz4y1D7Sv,【主义主义】（1-3-1-3）现实唯心主义——面对“心不齐”的拧绳哲学,2021-01-29,57265,59:58,人文历史,,https://www.bilibili.com/video/BV1wz4y1D7Sv
124,BV1Dz4y1m7Kb,【主义主义】唯梦论（1-3-1-4）——人生如梦，一樽还酹江月的哲学；兼论梦在主体性与主体间性上的核心特征,2021-01-30,62363,50:52,社科·法律·心理,,https://www.bilibili.com/video/BV1Dz4y1m7Kb
125,BV1cV411B79w,【主义主义】本真主义（1-3-2）——小布尔乔亚文青病的基本结构,2021-01-31,212067,40:53,人文历史,,https://www.bilibili.com/video/BV1cV411B79w
126,BV1Br4y1K7qB,【主义主义】现代斯多亚主义（1-3-2-1）——文化多元主义所炮制的古典学致幻剂,2021-01-31,61149,55:28,人文历史,,https://www.bilibili.com/video/BV1Br4y1K7qB
127,BV12U4y1s7qw,【主义主义】现代犬儒主义（1-3-2-2）——工薪阶层最容易陷入的意识形态陷阱,2021-02-02,526903,62:58,人文历史,,https://www.bilibili.com/video/BV12U4y1s7qw
128,BV1Nh411177x,【主义主义】现代爱情背后的哲学（现代新柏拉图主义，1-3-2-3）——我们这个时代的罗曼斯崇拜,2021-02-03,128126,42:40,社科·法律·心理,,https://www.bilibili.com/video/BV1Nh411177x
129,BV1No4y1971k,【主义主义】现代智者学派（1-3-2-4）——民哲：“为什么我能读懂一切哲学？因为我是真理的化身！”,2021-02-04,58874,40:46,人文历史,,https://www.bilibili.com/video/BV1No4y1971k
131,BV1uy4y1H73f,【主义主义】唯意志主义（1-3-3）——理解奋斗B，批判奋斗B，解放奋斗B,2021-02-05,58585,49:37,人文历史,,https://www.bilibili.com/video/BV1uy4y1H73f
133,BV16y4y1n7Yz,【主义主义】自我中心主义（1-3-3-1）：把人生当成修仙游戏，念叨“人不为己天诛地灭”，却被“我”这个字玩弄一辈子，,2021-02-06,101844,60:52,人文历史,,https://www.bilibili.com/video/BV16y4y1n7Yz
134,BV15V411i7qQ,【主义主义】道德严酷主义（1-3-3-2）——内在糜烂的道学先生，大他者的享乐工具，扣在康德头上的臭痰盂,2021-02-07,61187,47:11,社科·法律·心理,,https://www.bilibili.com/video/BV15V411i7qQ
136,BV1gt4y1z7sg,【主义主义】排他的“集体主义”（1-3-3-3）：冒充集体主义的自私，看似理性冷静的疯狂，自视宽容仁慈的邪恶,2021-02-08,94501,53:54,人文历史,,https://www.bilibili.com/video/BV1gt4y1z7sg
138,BV1vh411C7hx,【主义主义】厌女症-虚无主义（1-3-3-4）：叔本华的唯意志主义，酸臭文人的最后归宿，康德黑格尔笑掉大牙：“凭你也配谈哲学？”,2021-02-08,296195,52:09,人文历史,,https://www.bilibili.com/video/BV1vh411C7hx
